1 | Patrat | Jolly | Cheri Berry | Super Fang | Crunch | Hypnosis | Sand-Attack | Atk/Spd
75 | Mienfoo | Adamant | Muscle Band | Jump Kick | Bounce | U-turn | Quick Guard | Atk/Spd
76 | Purrloin | Adamant | Razor Fang | Sucker Punch | Shadow Claw | Aerial Ace | Fake Out | Atk/Spd
77 | Gothita | Calm | Colbur Berry | Psychic | Thunderbolt | Heal Block | Trick Room | SpA/SpD
78 | Solosis | Modest | Sitrus Berry | Psychic | Shadow Ball | Recover | Wonder Room | SpA/SpD
79 | Munna | Modest | Wise Glasses | Psychic | Energy Ball | Shadow Ball | Thunder Wave | HP/SpA
80 | Sandile | Jolly | Muscle Band | Earthquake | Foul Play | Stone Edge | Scary Face | Atk/Spd
81 | Tympole | Timid | Damp Rock | Surf | Echoed Voice | Aqua Ring | Rain Dance | Spd/SpA
82 | Foongus | Modest | BrightPowder | Energy Ball | Clear Smog | Rage Powder | Spore | HP/SpA
83 | Blitzle | Jolly | Air Balloon | Spark | Facade | Pursuit | Thunder Wave | Atk/Spd
84 | Minccino | Adamant | King's Rock | Tail Slap | Dig | U-turn | Captivate | Atk/Spd
85 | Klink | Adamant | Metal Coat | Gear Grind | Rock Smash | Shift Gear | Screech | Atk/Spd
86 | Deino | Adamant | Muscle Band | Dragon Rush | Crunch | Facade | Roar | HP/Atk
87 | Pansage | Jolly | Salac Berry | Seed Bomb | Crunch | Acrobatics | Torment | Atk/Spd
88 | Pansear | Jolly | Liechi Berry | Flame Charge | Shadow Claw | Acrobatics | Yawn | Spd/SpA
89 | Panpour | Adamant | Shell Bell | Waterfall | Acrobatics | Crunch | Taunt | Atk/Spd
90 | Yamask | Bold | Spell Tag | Shadow Ball | Psychic | Grudge | Will-O-Wisp | Def/SpA
91 | Golett | Adamant | Muscle Band | Shadow Punch | Hammer Arm | Earthquake | Iron Defense | HP/Atk
92 | Timburr | Adamant | Scope Lens | Hammer Arm | Chip Away | Stone Edge | Bulk Up | HP/Atk
93 | Ducklett | Modest | Wacan Berry | Air Slash | Surf | Tailwind | Roost | HP/SpA
94 | Vanillite | Modest | Icy Rock | Ice Beam | Flash Cannon | Acid Armor | Hail | SpA/SpD
95 | Ferroseed | Careful | Rocky Helmet | Iron Head | Payback | Ingrain | Curse | Atk/SpD
96 | Cubchoo | Adamant | Expert Belt | Avalanche | Shadow Claw | Aerial Ace | Slash | HP/Atk
97 | Shelmet | Bold | Coba Berry | Bug Buzz | Giga Drain | Recover | Final Gambit | HP/Def
98 | Snivy | Adamant | Miracle Seed | Leaf Blade | Slam | Gastro Acid | Coil | Atk/Spd
99 | Tepig | Adamant | Passho Berry | Heat Crash | Assurance | Rock Tomb | Roar | HP/Atk
100 | Oshawott | Modest | Rindo Berry | Surf | Ice Beam | Scald | Encore | HP/SpA
101 | Sewaddle | Impish | Focus Band | Bug Bite | Payback | Facade | String Shot | Atk/Def
102 | Woobat | Modest | Razor Fang | Air Slash | Psychic | Attract | Calm Mind | Spd/SpA
103 | Darumaka | Adamant | Shuca Berry | Fire Punch | Uproar | Rock Slide | Taunt | Atk/Spd
104 | Karrablast | Jolly | SilverPowder | X-Scissor | Slash | Poison Jab | Swords Dance | Atk/Spd
105 | Joltik | Timid | Salac Berry | Signal Beam | Electro Ball | Energy Ball | Agility | Spd/SpA
106 | Axew | Adamant | Muscle Band | Dragon Claw | X-Scissor | Aerial Ace | Dragon Dance | Atk/Spd
107 | Dwebble | Impish | Rocky Helmet | X-Scissor | Rock Slide | Stealth Rock | Swords Dance | Atk/Def
108 | Tynamo | Hardy | Razor Claw | Charge Beam | Spark | Thunder Wave | Tackle | Atk/SpA
109 | Drilbur | Adamant | Quick Claw | Drill Run | Earthquake | Shadow Claw | Hone Claws | Atk/Spd
110 | Trubbish | Impish | Black Sludge | Sludge Bomb | Amnesia | Stockpile | Swallow | Def/Spd
111 | Zorua | Modest | Wise Glasses | Night Daze | Shadow Ball | Round | Torment | Spd/SpA
112 | Deerling | Jolly | Salac Berry | Take Down | Jump Kick | Retaliate | Charm | Atk/Spd
113 | Frillish | Calm | Shell Bell | Surf | Shadow Ball | Psychic | Recover | SpA/SpD
114 | Elgyem | Modest | Quick Claw | Psyshock | Hidden Power | Recover | Calm Mind | HP/SpA
115 | Pawniard | Impish | Muscle Band | Iron Head | Night Slash | Aerial Ace | Swords Dance | Atk/Def
116 | Scraggy | Impish | Muscle Band | Brick Break | Crunch | Rock Climb | Swagger | Atk/Def
117 | Rufflet | Jolly | Razor Fang | Sky Drop | Crush Claw | Shadow Claw | Tailwind | Atk/Spd
118 | Krokorok | Jolly | Liechi Berry | Earthquake | Foul Play | Rock Slide | Sand Tomb | Atk/Spd
119 | Tirtouga | Jolly | Rindo Berry | Aqua Tail | Rock Slide | Bulldoze | Shell Smash | Atk/Spd
120 | Tranquill | Impish | Power Herb | Razor Wind | Facade | FeatherDance | Tailwind | Atk/Spd
121 | Whirlipede | Impish | Black Sludge | Steamroller | Poison Jab | Payback | Iron Defense | Def/SpD
122 | Larvesta | Adamant | Charti Berry | Flame Wheel | U-turn | Acrobatics | Will-O-Wisp | Atk/Spd
123 | Duosion | Modest | Quick Claw | Psychic | Energy Ball | Pain Split | Reflect | HP/SpA
124 | Lampent | Modest | Absorb Bulb | Inferno | Shadow Ball | Confuse Ray | Curse | HP/SpA
125 | Vullaby | Modest | Wise Glasses | Air Slash | Dark Pulse | Tailwind | Nasty Plot | Def/SpA
126 | Herdier | Adamant | Focus Band | Return | Retaliate | Reversal | Work Up | Atk/Spd
127 | Swadloon | Impish | Wide Lens | Razor Leaf | Dream Eater | GrassWhistle | Protect | Atk/Def
128 | Palpitoad | Timid | Wise Glasses | Hyper Voice | Muddy Water | Mud Shot | Aqua Ring | Spd/SpA
129 | Boldore | Adamant | Air Balloon | Stone Edge | Earthquake | Headbutt | Sandstorm | Atk/Def
130 | Gothorita | Calm | TwistedSpoon | Psyshock | Thunderbolt | Flatter | Thunder Wave | SpA/SpD
131 | Vanillish | Modest | Icy Rock | Ice Beam | Mirror Shot | Mirror Coat | Hail | SpA/SpD
132 | Archen | Jolly | Petaya Berry | Stone Edge | Acrobatics | Dragon Claw | Agility | Atk/Spd
133 | Gurdurr | Adamant | Zoom Lens | DynamicPunch | Poison Jab | Smack Down | Mach Punch | Atk/Def
134 | Fraxure | Adamant | Persim Berry | Outrage | Slash | Shadow Claw | Poison Jab | Atk/Spd
135 | Mienshao | Jolly | Muscle Band | Drain Punch | Acrobatics | Wide Guard | Fake Out | Atk/Spd
136 | Servine | Adamant | Grip Claw | Leaf Blade | Slam | Iron Tail | Wrap | Atk/Spd
137 | Dewott | Adamant | Razor Claw | Razor Shell | X-Scissor | Night Slash | Aqua Jet | HP/Atk
138 | Pignite | Adamant | White Herb | Heat Crash | Superpower | Poison Jab | Roar | HP/Atk
139 | Watchog | Jolly | Chesto Berry | Super Fang | Low Kick | Iron Tail | Hypnosis | Atk/Spd
140 | Zweilous | Adamant | Yache Berry | Dragon Tail | Headbutt | Rock Smash | Roar | HP/Atk
141 | Swoobat | Timid | Lum Berry | Psyshock | Air Cutter | Round | Attract | Spd/SpA
142 | Emolga | Hardy | BrightPowder | Electro Ball | Acrobatics | Double Team | Encore | Atk/Spd/SpA
143 | Klang | Hardy | Shuca Berry | Flash Cannon | Thunderbolt | Return | Metal Sound | Atk/Def
144 | Audino | Modest | Leftovers | Hyper Beam | Simple Beam | Thunder | Heal Pulse | HP/SpA
145 | Liepard | Jolly | Salac Berry | Night Slash | Aerial Ace | Assist | Fake Out | Atk/Spd
146 | Basculin | Adamant | Focus Sash | Aqua Tail | Chip Away | Flail | Final Gambit | Atk/Spd
147 | Maractus | Modest | Big Root | Giga Drain | Double Team | Synthesis | Ingrain | HP/SpA
148 | Simisage | Timid | Sitrus Berry | Energy Ball | Focus Blast | Round | Protect | Spd/SpA
149 | Simisear | Jolly | White Herb | Overheat | Focus Blast | Round | Protect | Spd/SpA
150 | Simipour | Timid | Expert Belt | Surf | Ice Beam | Focus Blast | Scald | Spd/SpA
151 | Amoonguss | Modest | Leftovers | Giga Drain | Double Team | Ingrain | Spore | HP/SpA
152 | Eelektrik | Hardy | Quick Claw | Thunderbolt | Acid Spray | Acrobatics | Gastro Acid | Atk/SpA
153 | Cinccino | Adamant | Lax Incense | DoubleSlap | Dig | U-turn | Aqua Tail | Atk/Spd
154 | Alomomola | Adamant | Leftovers | Dive | Aqua Ring | Healing Wish | Wide Guard | HP/Atk
155 | Stunfisk | Quiet | Focus Sash | Thunderbolt | Earthquake | Flail | Endure | HP/Atk/SpA
156 | Galvantula | Adamant | Scope Lens | X-Scissor | Wild Charge | Cross Poison | Thunder Wave | Atk/Spd
157 | Swanna | Adamant | Leftovers | Brave Bird | Facade | Pluck | Roost | Atk/Spd
158 | Garbodor | Modest | Black Sludge | Venoshock | Psychic | Focus Blast | Toxic | HP/SpA
159 | Scolipede | Adamant | Scope Lens | X-Scissor | Poison Jab | Rock Slide | Screech | Atk/Spd
160 | Crustle | Adamant | Rocky Helmet | Stone Edge | X-Scissor | Earthquake | Flail | Atk/Def
161 | Sawsbuck | Adamant | Lum Berry | Horn Leech | Double-Edge | Wild Charge | Jump Kick | Atk/Spd
162 | Whimsicott | Naive | Coba Berry | SolarBeam | Psychic | Shadow Ball | Sunny Day | Spd/SpA
163 | Jellicent | Calm | BrightPowder | Surf | Ice Beam | Psychic | Trick Room | HP/SpD
164 | Heatmor | Modest | Lax Incense | Flame Burst | Stockpile | Swallow | Spit Up | HP/SpA
165 | Beheeyem | Modest | Quick Claw | Psychic | Shadow Ball | Recover | Wonder Room | HP/SpA
166 | Beartic | Adamant | Razor Claw | Icicle Crash | Slash | Bulldoze | Shadow Claw | HP/Atk
167 | Stoutland | Adamant | Lum Berry | Crunch | Ice Fang | Fire Fang | Thunder Fang | Atk/Spd
168 | Leavanny | Jolly | Razor Fang | Leaf Blade | Bug Bite | Shadow Claw | Aerial Ace | Atk/Spd
169 | Sigilyph | Hardy | Power Herb | Sky Attack | Psychic | Hypnosis | Tailwind | Atk/SpA
170 | Bouffalant | Adamant | Rocky Helmet | Head Charge | Bulldoze | Stone Edge | Revenge | HP/Atk
171 | Gurdurr | Adamant | White Herb | Superpower | Stone Edge | Chip Away | Bulk Up | HP/Atk
172 | Fraxure | Adamant | Lum Berry | Dragon Tail | Guillotine | Aerial Ace | Dragon Dance | Atk/Spd
173 | Mienshao | Jolly | Power Herb | Jump Kick | Bounce | Aerial Ace | U-turn | Atk/Spd
174 | Servine | Modest | White Herb | Leaf Storm | Wring Out | Gastro Acid | Mirror Coat | Spd/SpA
175 | Dewott | Modest | Shell Bell | Hydro Pump | Ice Beam | Scald | Air Slash | HP/SpA
176 | Pignite | Adamant | Quick Claw | Flare Blitz | Head Smash | Stone Edge | Heavy Slam | HP/Atk
177 | Watchog | Jolly | Razor Fang | Hyper Fang | Crunch | Flail | Confuse Ray | Atk/Spd
178 | Zweilous | Adamant | Quick Claw | Dragon Rush | Body Slam | Crunch | Double Hit | HP/Atk
179 | Swoobat | Timid | Razor Fang | Psychic | Air Slash | Charge Beam | Shadow Ball | Spd/SpA
180 | Emolga | Hardy | Sitrus Berry | Volt Switch | Acrobatics | Thunder Wave | Light Screen | Atk/Spd/SpA
181 | Klang | Hardy | Occa Berry | Gear Grind | Thunderbolt | Hyper Beam | Shift Gear | Atk/Def
182 | Audino | Adamant | Shell Bell | Double-Edge | Sweet Kiss | Attract | Heal Pulse | HP/Atk
183 | Liepard | Adamant | Razor Claw | Night Slash | Shadow Claw | Slash | Hone Claws | Atk/Spd
184 | Basculin | Adamant | Cell Battery | Waterfall | Double-Edge | Crunch | Final Gambit | Atk/Spd
185 | Maractus | Modest | Heat Rock | SolarBeam | Synthesis | Sunny Day | Cotton Guard | HP/SpA
186 | Simisage | Jolly | Muscle Band | Giga Impact | Shadow Claw | Low Sweep | Acrobatics | Atk/Spd
187 | Simisear | Jolly | Scope Lens | Flame Charge | Shadow Claw | Rock Slide | Acrobatics | Atk/Spd
188 | Simipour | Jolly | Expert Belt | Waterfall | Shadow Claw | Acrobatics | Rock Slide | Atk/Spd
189 | Amoonguss | Modest | BrightPowder | Energy Ball | Sludge Bomb | Synthesis | Spore | HP/SpA
190 | Eelektrik | Adamant | Persim Berry | Wild Charge | Thrash | Crunch | Coil | Atk/Def
191 | Cinccino | Adamant | Normal Gem | DoubleSlap | Bullet Seed | Rock Blast | Sing | Atk/Spd
192 | Alomomola | Impish | Cell Battery | Dive | Aqua Jet | Wish | Mirror Coat | HP/Def
193 | Stunfisk | Modest | Zoom Lens | Thunderbolt | Muddy Water | Scald | Fissure | HP/SpA
194 | Galvantula | Timid | Salac Berry | Electro Ball | Bug Buzz | Agility | Thunder Wave | Spd/SpA
195 | Swanna | Modest | Wacan Berry | Hurricane | Surf | Scald | Rain Dance | Spd/SpA
196 | Garbodor | Adamant | Quick Claw | Gunk Shot | Body Slam | Smack Down | Explosion | HP/Atk
197 | Scolipede | Jolly | King's Rock | Steamroller | Poison Tail | Earthquake | Rock Slide | Atk/Spd
198 | Crustle | Adamant | Quick Claw | Rock Wrecker | X-Scissor | Earthquake | Giga Impact | Atk/Def
199 | Sawsbuck | Adamant | Shell Bell | Horn Leech | Double-Edge | Megahorn | Leech Seed | Atk/Spd
200 | Whimsicott | Modest | Sitrus Berry | Energy Ball | Hurricane | Leech Seed | Tailwind | Spd/SpA
201 | Jellicent | Calm | Leftovers | Hydro Pump | Hex | Recover | Toxic | HP/SpD
202 | Heatmor | Hardy | Leftovers | Inferno | Night Slash | Focus Blast | Aerial Ace | Atk/SpA
203 | Beheeyem | Modest | White Herb | Psyshock | Thunderbolt | Energy Ball | Trick Room | HP/SpA
204 | Beartic | Adamant | Life Orb | Avalanche | Dive | Superpower | Sheer Cold | HP/Atk
205 | Stoutland | Adamant | Razor Claw | Giga Impact | Crunch | Wild Charge | Aerial Ace | Atk/Spd
206 | Leavanny | Jolly | Scope Lens | Leaf Blade | X-Scissor | Slash | Swords Dance | Atk/Spd
207 | Sigilyph | Modest | Expert Belt | Air Slash | Synchronoise | Ice Beam | Energy Ball | Spd/SpA
208 | Bouffalant | Adamant | Life Orb | Head Charge | Megahorn | Thrash | Earthquake | HP/Atk
209 | Venusaur | Calm | Big Root | Leech Seed | Toxic | Synthesis | Ingrain | HP/SpD
210 | Charizard | Adamant | Salac Berry | Dragon Claw | Flame Charge | Belly Drum | Substitute | HP/Spd/SpD
211 | Blastoise | Quiet | Zoom Lens | Aqua Ring | Rock Slide | Aqua Tail | Iron Defense | HP/Def/SpD
212 | Meganium | Gentle | Sitrus Berry | Light Screen | Aromatherapy | Swagger | SolarBeam | HP/SpD
213 | Typhlosion | Rash | Passho Berry | Flame Burst | Flamethrower | SolarBeam | Sunny Day | Spd/SpA
214 | Feraligatr | Careful | Lax Incense | Screech | Aqua Jet | Earthquake | Block | HP/SpD
215 | Sceptile | Timid | Focus Sash | Quick Attack | Endeavor | Detect | Leaf Storm | Spd/SpA
216 | Blaziken | Naughty | Salac Berry | Hi Jump Kick | Counter | Flamethrower | Will-O-Wisp | HP/Def/Spd
217 | Swampert | Sassy | Jaboca Berry | Mirror Coat | Counter | Earthquake | Roar | Def/SpD
218 | Torterra | Adamant | Binding Band | Sand Tomb | Seed Bomb | Curse | Synthesis | HP/Atk
219 | Infernape | Jolly | King's Rock | Fake Out | Encore | Fling | Acrobatics | Atk/Spd
220 | Empoleon | Lax | Sitrus Berry | Yawn | Swords Dance | Aqua Jet | Metal Claw | HP/Def
221 | Serperior | Jolly | Lum Berry | Attract | Leaf Tornado | Dragon Tail | Gastro Acid | Def/Spd/SpD
222 | Emboar | Careful | Chesto Berry | Gyro Ball | Curse | Rest | Sleep Talk | HP/SpD
223 | Samurott | Mild | Splash Plate | Retaliate | Razor Shell | Assurance | Encore | HP/Atk
224 | Dugtrio | Hasty | Focus Sash | Reversal | Attract | Dig | Protect | Atk/Spd
225 | Marowak | Careful | Salac Berry | Substitute | Detect | Earthquake | Swords Dance | HP/SpD
226 | Medicham | Impish | Black Belt | Fake Out | Hi Jump Kick | Bulk Up | Feint | HP/Spd
227 | Quagsire | Impish | Rindo Berry | Rest | Sleep Talk | Toxic | Bulldoze | HP/Def
228 | Granbull | Naughty | Jaboca Berry | Metronome | Attract | Mimic | Return | HP/Def/SpD
229 | Jynx | Calm | Enigma Berry | Captivate | Mean Look | Lovely Kiss | Attract | HP/Def
230 | Mr. Mime | Naive | Choice Scarf | Trick | Nasty Plot | Barrier | Baton Pass | HP/Def/SpD
231 | Lanturn | Naughty | Salac Berry | Thunder Wave | Discharge | Electro Ball | Agility | Atk/Def
232 | Breloom | Brave | Black Belt | Fake Tears | Helping Hand | Mach Punch | Stun Spore | HP/Atk
233 | Forretress | Impish | Occa Berry | Spikes | Struggle Bug | Stealth Rock | Iron Defense | HP/Def
234 | Skarmory | Naive | Full Incense | Spikes | Stealth Rock | Sky Drop | Whirlwind | HP/Spd
235 | Absol | Careful | Sitrus Berry | Payback | Mean Look | Hone Claws | Baton Pass | HP/Def/SpD
236 | Whiscash | Careful | Chesto Berry | Earthquake | Tickle | Amnesia | Rest | Atk/SpD
237 | Hariyama | Brave | King's Rock | Feint | Fake Out | Smack Down | Vital Throw | Atk/Def/SpD
238 | Vespiquen | Sassy | Quick Claw | Defend Order | Toxic | Protect | Heal Order | HP/Def/SpD
239 | Raichu | Adamant | Focus Sash | Encore | Thief | Thunder Wave | Discharge | Spd/SpA
240 | Dewgong | Mild | Icy Rock | Icy Wind | Toxic | Rest | Hail | HP/Def
241 | Manectric | Adamant | Life Orb | Crunch | Odor Sleuth | Quick Attack | Wild Charge | Atk/Spd
242 | Staraptor | Hasty | Focus Sash | U-turn | FeatherDance | Quick Attack | Endeavor | Atk/Spd
243 | Gastrodon | Gentle | Damp Rock | Rain Dance | Sludge Bomb | Muddy Water | Counter | SpA/SpD
244 | Skuntank | Naughty | Shuca Berry | Flamethrower | Night Slash | Incinerate | Memento | Atk/Spd
245 | Sawk | Naughty | Black Belt | Low Sweep | Quick Guard | Retaliate | Taunt | Atk/Spd
246 | Throh | Impish | Payapa Berry | Protect | Toxic | Circle Throw | Wide Guard | Atk/Def
247 | Unfezant | Jolly | Enigma Berry | Aerial Ace | U-turn | Razor Wind | Tailwind | HP/Atk/Def
248 | Vileplume | Calm | Persim Berry | Petal Dance | Stun Spore | Teeter Dance | Moonlight | Spd/SpD
249 | Victreebel | Quiet | Payapa Berry | Leaf Tornado | Stockpile | Swallow | Gastro Acid | SpA/SpD
250 | Electrode | Calm | Shuca Berry | Swagger | Light Screen | Charge Beam | Thunder Wave | HP/SpD
251 | Ludicolo | Lax | Leftovers | Leech Seed | Toxic | Giga Drain | Rain Dance | HP/Def/SpA
252 | Shiftry | Brave | Iron Ball | Fling | Razor Leaf | Brick Break | Swords Dance | HP/Atk/SpD
253 | Exploud | Mild | Chople Berry | Fire Blast | Roar | Uproar | Hyper Voice | Atk/SpA
254 | Lopunny | Naive | Toxic Orb | Fake Out | Encore | Fling | Dizzy Punch | HP/Spd
255 | Froslass | Timid | Icy Rock | Hail | Ice Beam | Ominous Wind | Thunderbolt | Spd/SpA
256 | Lilligant | Timid | Persim Berry | Charm | Sleep Powder | Petal Dance | Healing Wish | Spd/SpA
257 | Darmanitan | Hasty | Passho Berry | Fire Punch | Encore | Belly Drum | Brick Break | Atk/Spd
258 | Ambipom | Naive | King's Rock | Fake Out | Fling | Thief | U-turn | Atk/Spd
259 | Cofagrigus | Sassy | Chesto Berry | Night Shade | Will-O-Wisp | Mean Look | Rest | HP/SpD
260 | Golurk | Lonely | Muscle Band | Shadow Punch | Iron Defense | Bulldoze | Heavy Slam | HP/SpD
261 | Durant | Naive | Sitrus Berry | Crunch | Dig | Bug Bite | Metal Sound | HP/Atk/Spd
262 | Golem | Impish | Hard Stone | Stealth Rock | Curse | Gyro Ball | Smack Down | HP/Atk/Def
263 | Slowbro | Bold | Sitrus Berry | Yawn | Psychic | Calm Mind | Water Pulse | HP/Def
